task,n,k,threads,schedule,chunk,trial,time
A,100000,24,8,dynamic,64,2,0.060890
A,100000,24,8,dynamic,64,3,0.061073
A,100000,24,8,dynamic,64,4,0.060064
A,100000,24,8,dynamic,64,5,0.062061
A,100000,24,8,guided,1,1,0.065624
A,100000,24,8,guided,1,2,0.060067
A,100000,24,8,guided,1,3,0.067517
A,100000,24,8,guided,1,4,0.054460
A,100000,24,8,guided,1,5,0.061188
A,100000,24,8,guided,4,1,0.074411
A,100000,24,8,guided,4,2,0.056036
A,100000,24,8,guided,4,3,0.059955
A,100000,24,8,guided,4,4,0.059102
A,100000,24,8,guided,4,5,0.054059
A,100000,24,8,guided,16,1,0.057186
A,100000,24,8,guided,16,2,0.055030
A,100000,24,8,guided,16,3,0.076318
A,100000,24,8,guided,16,4,0.067258
A,100000,24,8,guided,16,5,0.070211
A,100000,24,8,guided,64,1,0.057108
A,100000,24,8,guided,64,2,0.070860
A,100000,24,8,guided,64,3,0.056100
A,100000,24,8,guided,64,4,0.058575
A,100000,24,8,guided,64,5,0.057331
A,100000,24,16,static,auto,1,0.058955
A,100000,24,16,static,auto,2,0.065276
A,100000,24,16,static,auto,3,0.062804
A,100000,24,16,static,auto,4,0.063084
A,100000,24,16,static,auto,5,0.048981
A,100000,24,16,dynamic,1,1,0.049990
A,100000,24,16,dynamic,1,2,0.053126
A,100000,24,16,dynamic,1,3,0.054477
A,100000,24,16,dynamic,1,4,0.049634
A,100000,24,16,dynamic,1,5,0.066300
A,100000,24,16,dynamic,4,1,0.050347
A,100000,24,16,dynamic,4,2,0.054213
A,100000,24,16,dynamic,4,3,0.049517
A,100000,24,16,dynamic,4,4,0.054888
A,100000,24,16,dynamic,4,5,0.050142
A,100000,24,16,dynamic,16,1,0.053531
A,100000,24,16,dynamic,16,2,0.055579
A,100000,24,16,dynamic,16,3,0.053662
A,100000,24,16,dynamic,16,4,0.051218
A,100000,24,16,dynamic,16,5,0.058130
A,100000,24,16,dynamic,64,1,0.056208
A,100000,24,16,dynamic,64,2,0.058993
A,100000,24,16,dynamic,64,3,0.054873
A,100000,24,16,dynamic,64,4,0.058572
A,100000,24,16,dynamic,64,5,0.052206
A,100000,24,16,guided,1,1,0.061965
A,100000,24,16,guided,1,2,0.077114
A,100000,24,16,guided,1,3,0.063893
A,100000,24,16,guided,1,4,0.056793
A,100000,24,16,guided,1,5,0.064659
A,100000,24,16,guided,4,1,0.063695
A,100000,24,16,guided,4,2,0.058878
A,100000,24,16,guided,4,3,0.070464
A,100000,24,16,guided,4,4,0.066055
A,100000,24,16,guided,4,5,0.083474
A,100000,24,16,guided,16,1,0.073096
A,100000,24,16,guided,16,2,0.063653
A,100000,24,16,guided,16,3,0.060802
A,100000,24,16,guided,16,4,0.056681
A,100000,24,16,guided,16,5,0.073262
A,100000,24,16,guided,64,1,0.059940
A,100000,24,16,guided,64,2,0.059768
A,100000,24,16,guided,64,3,0.058801
A,100000,24,16,guided,64,4,0.064921
A,100000,24,16,guided,64,5,0.065482
A,100000,28,1,static,auto,1,2.355183
A,100000,28,1,static,auto,2,2.350753
A,100000,28,1,static,auto,3,2.371296
A,100000,28,1,static,auto,4,2.518182
A,100000,28,1,static,auto,5,2.617223
A,100000,28,1,dynamic,1,1,2.588275
A,100000,28,1,dynamic,1,2,2.525184
A,100000,28,1,dynamic,1,3,2.471356
A,100000,28,1,dynamic,1,4,2.393882
A,100000,28,1,dynamic,1,5,2.366956
A,100000,28,1,dynamic,4,1,2.182909
A,100000,28,1,dynamic,4,2,2.176272
A,100000,28,1,dynamic,4,3,2.176349
A,100000,28,1,dynamic,4,4,2.196961
A,100000,28,1,dynamic,4,5,2.180210
A,100000,28,1,dynamic,16,1,2.187524
A,100000,28,1,dynamic,16,2,2.189714
A,100000,28,1,dynamic,16,3,2.275168
A,100000,28,1,dynamic,16,4,2.301711
A,100000,28,1,dynamic,16,5,2.294814
A,100000,28,1,dynamic,64,1,2.322468
A,100000,28,1,dynamic,64,2,2.364688
A,100000,28,1,dynamic,64,3,2.362744
A,100000,28,1,dynamic,64,4,2.361735
A,100000,28,1,dynamic,64,5,2.199418
A,100000,28,1,guided,1,1,2.181794
A,100000,28,1,guided,1,2,2.174919
A,100000,28,1,guided,1,3,2.194305
A,100000,28,1,guided,1,4,2.243620
A,100000,28,1,guided,1,5,2.172704
A,100000,28,1,guided,4,1,2.189571
A,100000,28,1,guided,4,2,2.268069
A,100000,28,1,guided,4,3,2.334004
A,100000,28,1,guided,4,4,2.350638
A,100000,28,1,guided,4,5,2.353537
A,100000,28,1,guided,16,1,2.366639
A,100000,28,1,guided,16,2,2.344801
A,100000,28,1,guided,16,3,2.351574
A,100000,28,1,guided,16,4,2.240607
A,100000,28,1,guided,16,5,2.173829
A,100000,28,1,guided,64,1,2.188321
A,100000,28,1,guided,64,2,2.217336
A,100000,28,1,guided,64,3,2.216867
A,100000,28,1,guided,64,4,2.251110
A,100000,28,1,guided,64,5,2.208505
A,100000,28,2,static,auto,1,1.150751
A,100000,28,2,static,auto,2,1.191801
A,100000,28,2,static,auto,3,1.256494
A,100000,28,2,static,auto,4,1.271075
A,100000,28,2,static,auto,5,1.215165
A,100000,28,2,dynamic,1,1,1.187413
A,100000,28,2,dynamic,1,2,1.182108
A,100000,28,2,dynamic,1,3,1.282677
A,100000,28,2,dynamic,1,4,1.193658
A,100000,28,2,dynamic,1,5,1.230843
A,100000,28,2,dynamic,4,1,1.231047
A,100000,28,2,dynamic,4,2,1.249361
A,100000,28,2,dynamic,4,3,1.228280
A,100000,28,2,dynamic,4,4,1.209789
A,100000,28,2,dynamic,4,5,1.170696
A,100000,28,2,dynamic,16,1,1.211697
A,100000,28,2,dynamic,16,2,1.120277
A,100000,28,2,dynamic,16,3,1.290024
A,100000,28,2,dynamic,16,4,1.178830
A,100000,28,2,dynamic,16,5,1.106890
A,100000,28,2,dynamic,64,1,1.269794
A,100000,28,2,dynamic,64,2,1.232467
A,100000,28,2,dynamic,64,3,1.118859
A,100000,28,2,dynamic,64,4,1.121429
A,100000,28,2,dynamic,64,5,1.121233
A,100000,28,2,guided,1,1,1.169974
A,100000,28,2,guided,1,2,1.131683
A,100000,28,2,guided,1,3,1.410550
A,100000,28,2,guided,1,4,1.215555
A,100000,28,2,guided,1,5,1.165386
A,100000,28,2,guided,4,1,1.172179
A,100000,28,2,guided,4,2,1.409444
A,100000,28,2,guided,4,3,1.451481
A,100000,28,2,guided,4,4,1.371439
A,100000,28,2,guided,4,5,1.160745
A,100000,28,2,guided,16,1,1.486672
A,100000,28,2,guided,16,2,1.185210
A,100000,28,2,guided,16,3,1.244695
A,100000,28,2,guided,16,4,1.222406
A,100000,28,2,guided,16,5,1.220690
A,100000,28,2,guided,64,1,1.248203
A,100000,28,2,guided,64,2,1.244543
A,100000,28,2,guided,64,3,1.364658
A,100000,28,2,guided,64,4,1.515794
A,100000,28,2,guided,64,5,1.396012
A,100000,28,4,static,auto,1,0.634458
A,100000,28,4,static,auto,2,0.729326
A,100000,28,4,static,auto,3,0.735302
A,100000,28,4,static,auto,4,0.756391
A,100000,28,4,static,auto,5,0.675447
A,100000,28,4,dynamic,1,1,0.696487
A,100000,28,4,dynamic,1,2,0.742490
A,100000,28,4,dynamic,1,3,0.688732
A,100000,28,4,dynamic,1,4,0.707925
A,100000,28,4,dynamic,1,5,0.732755
A,100000,28,4,dynamic,4,1,0.708651
